"","OBJECTID","ACTIVITY_T","ACTIVITY_L","OPENING_ID","MAP_LABEL","SILV_BASE_","SILV_TECHN","SILV_METHO","SILV_OBJEC","SILV_OBJ_1","SILV_OBJ_2","SILV_FUND_","ATU_COMPLE","ACTUAL_TRE","ACTUAL_T_1","SILVICULTU","FIA_PROJEC","PLANTING_R","SILV_TREE_","NUMBER_PLA","PLANTED_NO","SEEDLOT_NU","VEG_LOT_ID","REQUEST_SK","GENETIC_CL","SUPERIOR_P","REGISTERED","GEOMETRY_E","FEATURE_AR","FEATURE_PE","CAPTURE_ME","DATA_SOURC","OBSERVATIO","DATA_QUALI","ATU_WHO_CR","ATU_WHEN_C","ATU_WHO_UP","ATU_WHEN_U","FEATURE_CL","FEATURE__1","FEATURE_LE","GEOMETRY_L","GEOMETRY_A","geometry"
"1",1,-745010012,NA,-745010000,"SX 11004(1995)","PL","PL","CTAIN","CE",NA,NA,"SBF","1995/06/25 00:00:00.000",17,NA,NA,NA,2,"SX",11004,NA,"31460",NA,NA,"B","N","Y","N",NA,NA,NA,NA,NA,NA,"BKOPE","1994/04/14 11:15:57.000","&&datafix_userid","2014/06/28 09:36:11.000",NA,NA,NA,0,0,list()
"2",2,-745010012,NA,-745010000,"SX 7140(1995)","PL","PL","CTAIN","CE",NA,NA,"SBF","1995/06/25 00:00:00.000",17,NA,NA,NA,1,"SX",7140,NA,"08583",NA,NA,"B","N","Y","N",NA,NA,NA,NA,NA,NA,"BKOPE","1994/04/14 11:15:57.000","&&datafix_userid","2014/06/28 09:36:11.000",NA,NA,NA,0,0,list()
"3",3,-744920011,NA,-744920000,"CW 2200(1995)","PL","PL","CTAIN","CE",NA,NA,"SBF","1995/06/25 00:00:00.000",7.4,NA,NA,NA,2,"CW",2200,NA,"03541",NA,NA,"B","N","Y","N",NA,NA,NA,NA,NA,NA,"BKOPE","1994/04/14 11:15:57.000","&&datafix_userid","2014/06/28 09:36:11.000",NA,NA,NA,0,0,list()
"4",4,-744910011,NA,-744910000,"CW 770(1995)","PL","PL","CTAIN","CE",NA,NA,"SBF","1995/06/25 00:00:00.000",11.2,NA,NA,NA,4,"CW",770,NA,"05490",NA,NA,"B","N","Y","N",NA,NA,NA,NA,NA,NA,"BKOPE","1994/04/14 11:15:57.000","&&datafix_userid","2014/06/28 09:36:11.000",NA,NA,NA,0,0,list()
"5",5,-744910011,NA,-744910000,"CW 2238(1995)","PL","PL","CTAIN","CE",NA,NA,"SBF","1995/06/25 00:00:00.000",11.2,NA,NA,NA,3,"CW",2238,NA,"03541",NA,NA,"B","N","Y","N",NA,NA,NA,NA,NA,NA,"BKOPE","1994/04/14 11:15:57.000","&&datafix_userid","2014/06/28 09:36:11.000",NA,NA,NA,0,0,list()
"6",6,-744910011,NA,-744910000,"SX 3242(1995)","PL","PL","CTAIN","CE",NA,NA,"SBF","1995/06/25 00:00:00.000",11.2,NA,NA,NA,2,"SX",3242,NA,"08582",NA,NA,"B","N","Y","N",NA,NA,NA,NA,NA,NA,"BKOPE","1994/04/14 11:15:57.000","&&datafix_userid","2014/06/28 09:36:11.000",NA,NA,NA,0,0,list()
"7",7,-744850012,NA,-744850000,"SX 10200(1989)","PL","PL","CTAIN","CE",NA,NA,"VOI","1989/06/25 00:00:00.000",6.7,NA,NA,NA,1,"SX",10200,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,"TOBERIK","1994/04/14 11:15:57.000","&&datafix_userid","2014/06/28 09:36:11.000",NA,NA,NA,0,0,list()
"8",8,-744790022,NA,-744790000,"FDI 1000(1993)","PL","PL","CTAIN","CE",NA,NA,"VOI","1993/06/03 00:00:00.000",2,NA,NA,NA,2,"FDI",1000,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,"BKOPE","1994/04/14 11:15:57.000","&&datafix_userid","2014/06/28 09:36:11.000",NA,NA,NA,0,0,list()
"9",9,-744790022,NA,-744790000,"SX 2100(1993)","PL","PL","CTAIN","CE",NA,NA,"VOI","1993/06/03 00:00:00.000",2,NA,NA,NA,1,"SX",2100,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,"BKOPE","1994/04/14 11:15:57.000","&&datafix_userid","2014/06/28 09:36:11.000",NA,NA,NA,0,0,list()
"10",10,-744780015,NA,-744780000,"SX 53393(1994)","PL","PL","CTAIN","CE",NA,NA,"VG","1994/06/09 00:00:00.000",34.3,NA,NA,NA,1,"SX",53393,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,"BKOPE","1994/04/14 11:15:57.000","&&datafix_userid","2014/06/28 09:36:11.000",NA,NA,NA,0,0,list()
