Region,BGC,SS_NoSpace,Standard,PreferredAcceptable,Suitability,Species,FN1,FN2,FN3,FN4,FN5,Flag,Note
Kamloops,BGxh1,BGxh1/04,999,A,2,Fd,27,,,,,0,
Kamloops,BGxh1,BGxh1/04,999,X,1,Py,27,,,,,0,
Kamloops,BGxh1,BGxh1/05,999,X,3,At,901,,,,,0,
Kamloops,BGxh1,BGxh1/05,999,A,2,Fd,27,,,,,0,
Kamloops,BGxh1,BGxh1/05,999,X,1,Py,27,,,,,0,
Kamloops,BGxh1,BGxh1/06,999,X,3,Act,900,,,,,0,
Kamloops,BGxh1,BGxh1/06,999,X,3,At,900,,,,,0,
Kamloops,BGxh1,BGxh1/06,999,X,3,Ep,901,,,,,0,
Kamloops,BGxh1,BGxh1/06,999,A,1,Fd,,,,,,0,
Kamloops,BGxh1,BGxh1/06,999,X,1,Py,,,,,,0,
Kamloops,BGxh1,BGxh1/07,999,X,3,Act,900,,,,,0,
Kamloops,BGxh1,BGxh1/07,999,X,3,At,900,,,,,0,
Kamloops,BGxh1,BGxh1/07,999,X,3,Ep,901,,,,,0,
Kamloops,BGxh1,BGxh1/07,999,A,2,Fd,1,,,,,0,
Kamloops,BGxh1,BGxh1/07,999,X,2,Py,1,,,,,0,
Kamloops,BGxh1,BGxh1/07,999,A,1,Sx,1,,,,,0,
Kamloops,BGxh2,BGxh2/03,999,X,2,Py,27,,,,,0,
Kamloops,BGxh2,BGxh2/04,999,A,3,Fd,27,,,,,0,
Kamloops,BGxh2,BGxh2/04,999,X,2,Py,27,,,,,0,
Kamloops,BGxh2,BGxh2/07,999,X,3,Act,900,,,,,0,
Kamloops,BGxh2,BGxh2/07,999,X,3,At,900,,,,,0,
Kamloops,BGxh2,BGxh2/07,999,X,3,Ep,901,,,,,0,
Kamloops,BGxh2,BGxh2/07,999,A,2,Fd,1,,,,,0,
Kamloops,BGxh2,BGxh2/07,999,X,2,Py,1,,,,,0,
Kamloops,BGxh2,BGxh2/07,999,A,3,Sx,1,,,,,0,
Kamloops,BGxw1,BGxw1/03,999,A,3,Fd,27,,,,,0,
Kamloops,BGxw1,BGxw1/03,999,X,2,Py,27,,,,,0,
Kamloops,BGxw1,BGxw1/05,999,A,3,Fd,27,,,,,0,
Kamloops,BGxw1,BGxw1/05,999,X,2,Py,27,,,,,0,
Kamloops,BGxw1,BGxw1/08,999,X,3,At,900,,,,,0,
Kamloops,BGxw1,BGxw1/08,999,A,3,Fd,32,,,,,0,
BWBS2012,BWBSdk,BWBSdk/101,1043873,X,3,Acb,901,,,,,0,
BWBS2012,BWBSdk,BWBSdk/101,1043873,X,3,At,901,,,,,0,
BWBS2012,BWBSdk,BWBSdk/101,1043873,A,2,Bl,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/101,1043873,X,3,Ep,901,,,,,0,
BWBS2012,BWBSdk,BWBSdk/101,1043873,P,1,Pl,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/101,1043873,X,3,Sb,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/101,1043873,P,1,Sw,32,,,,,0,
BWBS2012,BWBSdk,BWBSdk/102,1043874,X,3,At,901,,,,,0,
BWBS2012,BWBSdk,BWBSdk/102,1043874,X,3,Bl,53,,,,,0,
BWBS2012,BWBSdk,BWBSdk/102,1043874,P,1,Pl,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/102,1043874,A,3,Sb,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/102,1043874,A,3,Sw,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/103,1043875,X,3,At,901,,,,,0,
BWBS2012,BWBSdk,BWBSdk/103,1043875,A,2,Bl,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/103,1043875,X,3,Ep,901,,,,,0,
BWBS2012,BWBSdk,BWBSdk/103,1043875,P,1,Pl,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/103,1043875,X,3,Sb,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/103,1043875,P,1,Sw,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/104,1043876,X,3,At,901,,,,,0,
BWBS2012,BWBSdk,BWBSdk/104,1043876,X,3,Bl,53,,,,,0,
BWBS2012,BWBSdk,BWBSdk/104,1043876,P,1,Pl,1,,,,,0,
BWBS2012,BWBSdk,BWBSdk/104,1043876,P,1,Sb,1,,,,,0,
BWBS2012,BWBSdk,BWBSdk/104,1043876,P,1,Sw,1,32,,,,0,
BWBS2012,BWBSdk,BWBSdk/110,1043877,X,1,Acb,901,900,,,,0,
BWBS2012,BWBSdk,BWBSdk/110,1043877,X,3,At,901,,,,,0,
BWBS2012,BWBSdk,BWBSdk/110,1043877,X,3,Bl,53,,,,,0,
BWBS2012,BWBSdk,BWBSdk/110,1043877,X,3,Ep,901,,,,,0,
BWBS2012,BWBSdk,BWBSdk/110,1043877,P,2,Pl,1,,,,,0,
BWBS2012,BWBSdk,BWBSdk/110,1043877,A,3,Sb,,,,,,0,
BWBS2012,BWBSdk,BWBSdk/110,1043877,P,1,Sw,1,32,,,,0,
BWBS2012,BWBSdk,BWBSdk/111,1043878,X,1,Acb,901,900,,,,0,
