Region,BGC,SS_NoSpace,Standard,PreferredAcceptable,Suitability,Species,CC 203/204,FN1,FN2,FN3,FN4,FN5,Flag,Note
Vancouver,CWHds1,CWHds1/05,84031,X,3,Bp,203,13,23,47,,,0,
Vancouver,CWHds1,CWHds1/07,84033,X,3,Bp,203,13,23,47,,,0,
Vancouver,CWHmm2,CWHmm2/05,84064,A,2,Bp,203,23,47,,,,0,
Vancouver,CWHms1,CWHms1/01,84070,X,3,Bp,203,23,47,7,,,0,
Kamloops,ESSFwc2,ESSFwc2/01,82040CC,X,0,Pl,204,,,,,,0,
Kamloops,ICHmw3,ICHmw3/01,82084CC,A,0,Pl,204,51,,,,,0,
Kamloops,IDFdk1,IDFdk1/01,82106CC,,0,Lw,204,,,,,,0,
Kamloops,IDFdk1,IDFdk1/01,82106CC,,0,Py,204,,,,,,0,
Kamloops,IDFdk1,IDFdk1/01,82106CC,,0,Sx,204,,,,,,0,
Kamloops,IDFdk2,IDFdk2/01,82113,A,3,Sx,204,10,13,,,,0,
Kamloops,IDFdk2,IDFdk2/01,82113CC,,0,Sx,204,,,,,,0,
Kamloops,IDFxh1,IDFxh1/01,82156CC,,0,Lw,204,,,,,,0,
Cariboo,SBPSdc,SBPSdc/01,80163CC,A,2,Sx,204,28,,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/101,1043907,X,3,At,203,901,,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/101,1043907CC,A,3,Acb,203,901,900,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/101,1043907CC,A,3,Ep,203,,,,,,0,
BWBS2012,BWBSwk2,BWBSwk2/101,1043907CC,A,3,Fd,203,9,16,32,,,0,
BWBS2012,BWBSwk3,BWBSwk3/101,1043913,X,3,Acb,203,900,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/101,1043913,X,3,At,203,900,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/101,1043913CC,X,2,Bl,203,,,,,,0,
BWBS2012,BWBSwk3,BWBSwk3/101,1043913CC,A,3,Fd,203,9,16,32,,,0,
Vancouver,CWHdm,CWHdm/01,84013L,,3,Lw,203,,,,,,0,
Vancouver,CWHdm,CWHdm/03,84015,X,3,Lw,203,23,,,,,0,
Vancouver,CWHdm,CWHdm/04,84016L,,3,Lw,203,,,,,,0,
Vancouver,CWHds1,CWHds1/03,84029,A,2,Py,203,7,18,23,,,0,
Vancouver,CWHds1,CWHds1/04,84030,X,3,Py,203,18,23,,,,0,
Vancouver,CWHds2,CWHds2/01,84038L,,3,Lw,203,,,,,,0,
Vancouver,CWHms2,CWHms2/01,84080L,,3,Lw,203,,,,,,0,
Vancouver,CWHms2,CWHms2/04,84083L,,3,Lw,203,,,,,,0,
Cariboo,ESSFdc2,ESSFdc2/01,80000L,,3,Lw,203,,,,,,0,
Cariboo,ESSFdc2,ESSFdc2/03,80001L,,3,Lw,203,,,,,,0,
Cariboo,ESSFdc2,ESSFdc2/06,80004L,,3,Lw,203,,,,,,0,
Pr Rupert,ESSFmc,ESSFmc/01,85087L,,3,Lw,203,23,,,,,0,
Pr George,ESSFmm1,ESSFmm1/01,81061L,,3,Lw,203,,,,,,0,
Pr George,ESSFmv1,ESSFmv1/01,81068CC,X,3,At,203,,,,,,0,
Pr George,ESSFmv1,ESSFmv1/01,81068CC,A,3,Ep,203,,,,,,0,
Pr George,ESSFmv1,ESSFmv1/01,81068CC,A,3,Fd,203,9,32,,,,0,
Pr George,ESSFmv1,ESSFmv1/01,81068CC,A,3,Lw,203,9,32,,,,0,
Vancouver,ESSFmw,ESSFmw/01,84196L,,3,Lw,203,,,,,,0,
Kamloops,ESSFwc2,ESSFwc2/01,82040CC,A,3,Cw,203,14,203,,,,0,
Kamloops,ESSFwc2,ESSFwc2/01,82040CC,A,3,Fd,203,9,14,32,203,,0,
Kamloops,ESSFwc2,ESSFwc2/01,82040CC,A,3,Hw,203,14,203,,,,0,
Kamloops,ESSFwc2,ESSFwc2/01,82040CC,A,3,Pw,203,9,14,31,203,,0,
Pr George,ESSFwc2,ESSFwc2/01,81091CC,A,2,Cw,203,14,,,,,0,
Pr George,ESSFwc2,ESSFwc2/01,81091CC,A,2,Fd,203,9,14,32,,,0,
Pr George,ESSFwc2,ESSFwc2/01,81091CC,A,3,Hw,203,14,,,,,0,
Pr George,ESSFwc2,ESSFwc2/01,81091CC,A,3,Lw,203,9,14,32,,,0,
Pr George,ESSFwc2,ESSFwc2/01,81091L,,3,Lw,203,,,,,,0,
Pr George,ESSFwc3,ESSFwc3/01,81100CC,X,3,Ac,203,,,,,,0,
Pr George,ESSFwc3,ESSFwc3/01,81100CC,X,3,At,203,,,,,,0,
Pr George,ESSFwc3,ESSFwc3/01,81100CC,A,2,Cw,203,14,32,,,,0,
Pr George,ESSFwc3,ESSFwc3/01,81100CC,A,2,Fd,203,9,14,32,,,0,
Pr George,ESSFwc3,ESSFwc3/01,81100CC,A,3,Hw,203,14,32,,,,0,
Pr George,ESSFwc3,ESSFwc3/01,81100CC,A,3,Lw,203,14,32,,,,0,
Pr George,ESSFwc3,ESSFwc3/01,81100CC,A,2,Pw,203,14,32,31?,,,0,
Cariboo,ESSFwk1,ESSFwk1/01,80015L,,3,Lw,203,,,,,,0,
Pr George,ESSFwk1,ESSFwk1/01,81103L,,3,Lw,203,,,,,,0,
Cariboo,ESSFwk1,ESSFwk1/03,80017L,,3,Lw,203,,,,,,0,
Pr George,ESSFwk1,ESSFwk1/03,81105L,,3,Lw,203,,,,,,0,
Pr Rupert,ESSFwv,ESSFwv/01,85111L,,1,Lw,203,23,,,,,0,
Cariboo,ESSFxc,ESSFxc/01,80022L,,3,Lw,203,,,,,,0,
Cariboo,ESSFxc,ESSFxc/05,80024L,,3,Lw,203,,,,,,0,
Cariboo,ICHdk,ICHdk/01,80047L,,3,Lw,203,,,,,,0,
Cariboo,ICHdk,ICHdk/04,80050L,,3,Lw,203,,,,,,0,
Pr Rupert,ICHmc1,ICHmc1/01,85120L,,3,Lw,203,23,,,,,0,
Pr Rupert,ICHmc1,ICHmc1/03,85122L,,3,Lw,203,23,,,,,0,
Pr Rupert,ICHmc2,ICHmc2/01a,85129CCa,P,2,Fd,203,9,32,,,,0,
Pr Rupert,ICHmc2,ICHmc2/01a,85129CCa,P,2,Lw,203,9,32,,,,0,
Pr Rupert,ICHmc2,ICHmc2/03,85131CC,P,2,Fd,203,9,32,,,,0,
Pr Rupert,ICHmc2,ICHmc2/03,85131CC,P,2,Lw,203,9,32,,,,0,
Pr Rupert,ICHmc2,ICHmc2/04,85132CC,P,2,Fd,203,9,32,,,,0,
Pr Rupert,ICHmc2,ICHmc2/04,85132CC,P,2,Lw,203,9,32,,,,0,
Cariboo,ICHmk3,ICHmk3/01,80056L,,3,Lw,203,,,,,,0,
Cariboo,ICHmk3,ICHmk3/03,80058L,,3,Lw,203,,,,,,0,
Cariboo,ICHmk3,ICHmk3/04,80059L,,3,Lw,203,,,,,,0,
Pr George,ICHmm,ICHmm/01,81116L,,3,Lw,203,,,,,,0,
Cariboo,ICHmw3,ICHmw3/01,80063L,,3,Lw,203,,,,,,0,
Kamloops,ICHmw3,ICHmw3/01,82084CC,P,2,Cw,203,,,,,,0,
Kamloops,ICHmw3,ICHmw3/01,82084CC,A,2,Hw,203,,,,,,0,
Cariboo,ICHmw3,ICHmw3/01-YC,80064L,,3,Lw,203,,,,,,0,
Cariboo,ICHmw3,ICHmw3/03,80066L,,3,Lw,203,,,,,,0,
Cariboo,ICHmw3,ICHmw3/04,80067L,,3,Lw,203,,,,,,0,
Cariboo,ICHmw3,ICHmw3/05,80068L,,3,Lw,203,,,,,,0,
Cariboo,ICHmw3,ICHmw3/06,80069L,,3,Lw,203,,,,,,0,
Pr George,ICHvk2,ICHvk2/01,81124CC,A,3,Lw,203,32,,,,,0,
Pr George,ICHvk2,ICHvk2/01,81124CC,A,2,Pw,203,31,32,,,,0,
Cariboo,ICHwk2,ICHwk2/01,80072L,,3,Lw,203,,,,,,0,
Cariboo,ICHwk2,ICHwk2/04,80075L,,3,Lw,203,,,,,,0,
Cariboo,ICHwk2,ICHwk2/05,80076L,,3,Lw,203,,,,,,0,
Pr George,ICHwk3,ICHwk3/01,81138CC,,3,Lw,203,32,,,,,0,
Pr George,ICHwk3,ICHwk3/01,81138CC,,2,Pw,203,31,32,,,,0,
Pr George,ICHwk4,ICHwk4/01,81147CC,A,3,Lw,203,32,,,,,0,
Pr George,ICHwk4,ICHwk4/01,81147CC,A,2,Pw,203,31,32,,,,0,
Cariboo,IDFdk1,IDFdk1/01,80088L,,3,Lw,203,,,,,,0,
Cariboo,IDFdk1,IDFdk1/05,80092L,,3,Lw,203,,,,,,0,
Cariboo,IDFdk3,IDFdk3/01,80094L,,3,Lw,203,,,,,,0,
Cariboo,IDFdk3,IDFdk3/06,80099L,,3,Lw,203,,,,,,0,
Cariboo,IDFdk3,IDFdk3/07,80100L,,3,Lw,203,,,,,,0,
Cariboo,IDFdk4,IDFdk4/01,80103L,,3,Lw,203,,,,,,0,
Cariboo,IDFdk4,IDFdk4/07,80109L,,3,Lw,203,,,,,,0,
Cariboo,IDFmw2,IDFmw2/01,80113L,,3,Lw,203,,,,,,0,
Cariboo,IDFmw2,IDFmw2/01-YC,80114L,,3,Lw,203,,,,,,0,
Cariboo,IDFmw2,IDFmw2/01-YS,80115L,,3,Lw,203,,,,,,0,
Cariboo,IDFmw2,IDFmw2/03,80117L,,3,Lw,203,,,,,,0,
Cariboo,IDFmw2,IDFmw2/04,80118L,,3,Lw,203,,,,,,0,
Pr Rupert,MHmm1,MHmm1/01,85159CC,A,2,Cw,203,14,,,,,0,
Pr Rupert,MHmm1,MHmm1/01,85159CC,X,3,Ss,203,23,,,,,0,
Vancouver,MHmm1,MHmm1/01,84211CC,A,2,Cw,203,14,,,,,0,
Vancouver,MHmm1,MHmm1/01,84211CC,A,3,Fd,203,9,14,23,,,0,
Pr Rupert,MHmm2,MHmm2/01,85168CC,A,3,Cw,203,14,,,,,0,
Vancouver,MHmm2,MHmm2/01,84220CC,A,2,Cw,203,14,,,,,0,
Vancouver,MHmm2,MHmm2/01,84220CC,A,3,Fd,203,14,23,,,,0,
Kamloops,MSxk,MSxk/01,82198CC,A,3,Lw,203,14,23,32,,,0,
Cariboo,MSxv,MSxv/01,80154L,,3,Lw,203,,,,,,0,
Cariboo,MSxv,MSxv/05,80158L,,3,Lw,203,,,,,,0,
Cariboo,SBPSdc,SBPSdc/01,80163CC,A,3,Fd,203,203,,,,,0,
Cariboo,SBPSdc,SBPSdc/01,80163L,,3,Lw,203,,,,,,0,
Cariboo,SBPSdc,SBPSdc/05,80167L,,3,Lw,203,,,,,,0,
Pr George,SBPSmc,SBPSmc/01,81155CC,A,2,Fd,203,32,,,,,0,
Pr George,SBPSmc,SBPSmc/01,81155CC,A,2,Lw,203,32,,,,,0,
