BGC_ZN_,spcs_cl_x,Species,REGION_,ORG_UNIT,ORG_UNIT_,F_CODE,F_NAME,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,FTRCLSS,ZONE,SUBZONE,VARIANT,PHASE,NTRLDSTRBN,BGC,BGC_LAB,ZONE_NA,SBZNNM,VRNTNM,PHASE_N,NTRLDSTRB1,AREA_SQM_,FEAT_LEN_,FEAT_AR,FTRLNGT,OBJECTID_,geometry,long,lat
CWH,S_SPP2_CD,CW,Skeena Natural Resource Region,RSK,Skeena Natural Resource Region,FM90000010,Natural Resource Region,NA,5,263213999695.985,5061576.7927,435,MH,mm,2,NA,NDT1,MHmm2,MH  mm 2,Mountain Hemlock,Moist Maritime,Leeward,NA,Ecosystems with rare stand-initiating events,500103668.6047,1885992.5467,500103669,1885993,5123908,"-128.456811631091 , 54.965308123932",-128.45681163109074,54.965308123932
CWH,S_SPP2_CD,CW,Skeena Natural Resource Region,RSK,Skeena Natural Resource Region,FM90000010,Natural Resource Region,NA,5,263213999695.985,5061576.7927,435,MH,mm,2,NA,NDT1,MHmm2,MH  mm 2,Mountain Hemlock,Moist Maritime,Leeward,NA,Ecosystems with rare stand-initiating events,500103668.6047,1885992.5467,500103669,1885993,5123908,"-128.67231334075 , 54.7165410150421",-128.67231334074972,54.71654101504213
CWH,S_SPP3_CD,CW,Skeena Natural Resource Region,RSK,Skeena Natural Resource Region,FM90000010,Natural Resource Region,NA,5,263213999695.985,5061576.7927,435,MH,mm,2,NA,NDT1,MHmm2,MH  mm 2,Mountain Hemlock,Moist Maritime,Leeward,NA,Ecosystems with rare stand-initiating events,500103668.6047,1885992.5467,500103669,1885993,5123908,"-128.714034310457 , 54.8130135577339",-128.7140343104569,54.81301355773385
NA,S_SPP3_CD,CW,Skeena Natural Resource Region,RSK,Skeena Natural Resource Region,FM90000010,Natural Resource Region,NA,5,263213999695.985,5061576.7927,435,MH,mm,2,NA,NDT1,MHmm2,MH  mm 2,Mountain Hemlock,Moist Maritime,Leeward,NA,Ecosystems with rare stand-initiating events,500103668.6047,1885992.5467,500103669,1885993,5123908,"-128.673777097788 , 54.714228189513",-128.67377709778808,54.714228189513
CWH,S_SPP4_CD,CW,Skeena Natural Resource Region,RSK,Skeena Natural Resource Region,FM90000010,Natural Resource Region,NA,5,263213999695.985,5061576.7927,435,MH,mm,2,NA,NDT1,MHmm2,MH  mm 2,Mountain Hemlock,Moist Maritime,Leeward,NA,Ecosystems with rare stand-initiating events,500103668.6047,1885992.5467,500103669,1885993,5123908,"-128.719562436283 , 54.8316243956865",-128.7195624362832,54.83162439568649
NA,S_SPP4_CD,CW,Skeena Natural Resource Region,RSK,Skeena Natural Resource Region,FM90000010,Natural Resource Region,NA,5,263213999695.985,5061576.7927,435,MH,mm,2,NA,NDT1,MHmm2,MH  mm 2,Mountain Hemlock,Moist Maritime,Leeward,NA,Ecosystems with rare stand-initiating events,500103668.6047,1885992.5467,500103669,1885993,5123908,"-128.722252437832 , 54.8319191438031",-128.72225243783151,54.831919143803134
CWH,S_SPP5_CD,CW,Skeena Natural Resource Region,RSK,Skeena Natural Resource Region,FM90000010,Natural Resource Region,NA,5,263213999695.985,5061576.7927,435,MH,mm,2,NA,NDT1,MHmm2,MH  mm 2,Mountain Hemlock,Moist Maritime,Leeward,NA,Ecosystems with rare stand-initiating events,500103668.6047,1885992.5467,500103669,1885993,5123908,"-128.453771570143 , 54.9657990898542",-128.45377157014252,54.9657990898542
CWH,S_SPP4_CD,CW,Skeena Natural Resource Region,RSK,Skeena Natural Resource Region,FM90000010,Natural Resource Region,NA,5,263213999695.985,5061576.7927,435,MH,mm,2,NA,NDT1,MHmm2,MH  mm 2,Mountain Hemlock,Moist Maritime,Leeward,NA,Ecosystems with rare stand-initiating events,131527910.5079,667629.8073,131527911,667630,5123889,"-128.281845279558 , 53.8384130184966",-128.28184527955773,53.83841301849662
CWH,S_SPP3_CD,CW,Skeena Natural Resource Region,RSK,Skeena Natural Resource Region,FM90000010,Natural Resource Region,NA,5,263213999695.985,5061576.7927,435,MH,mm,2,NA,NDT1,MHmm2,MH  mm 2,Mountain Hemlock,Moist Maritime,Leeward,NA,Ecosystems with rare stand-initiating events,164078635.538,671156.5503,164078636,671157,5123890,"-128.860847038464 , 54.3217336995959",-128.86084703846427,54.32173369959591
CWH,S_SPP1_CD,CW,Skeena Natural Resource Region,RSK,Skeena Natural Resource Region,FM90000010,Natural Resource Region,NA,5,263213999695.985,5061576.7927,435,MH,mm,2,NA,NDT1,MHmm2,MH  mm 2,Mountain Hemlock,Moist Maritime,Leeward,NA,Ecosystems with rare stand-initiating events,71575173.0974,326330.6615,71575173,326331,5123891,"-128.274499679352 , 54.3893055080382",-128.27449967935237,54.38930550803824
CWH,S_SPP3_CD,CW,Skeena Natural Resource Region,RSK,Skeena Natural Resource Region,FM90000010,Natural Resource Region,NA,5,263213999695.985,5061576.7927,435,MH,mm,2,NA,NDT1,MHmm2,MH  mm 2,Mountain Hemlock,Moist Maritime,Leeward,NA,Ecosystems with rare stand-initiating events,524334380.3237,1773019.4301,524334380,1773019,5123892,"-127.881580912194 , 54.4416085525543",-127.88158091219404,54.44160855255429
CWH,S_SPP4_CD,CW,Skeena Natural Resource Region,RSK,Skeena Natural Resource Region,FM90000010,Natural Resource Region,NA,5,263213999695.985,5061576.7927,435,MH,mm,2,NA,NDT1,MHmm2,MH  mm 2,Mountain Hemlock,Moist Maritime,Leeward,NA,Ecosystems with rare stand-initiating events,524334380.3237,1773019.4301,524334380,1773019,5123892,"-127.863403843616 , 54.5006728562423",-127.86340384361607,54.50067285624229
CWH,S_SPP5_CD,CW,Skeena Natural Resource Region,RSK,Skeena Natural Resource Region,FM90000010,Natural Resource Region,NA,5,263213999695.985,5061576.7927,435,MH,mm,2,NA,NDT1,MHmm2,MH  mm 2,Mountain Hemlock,Moist Maritime,Leeward,NA,Ecosystems with rare stand-initiating events,524334380.3237,1773019.4301,524334380,1773019,5123892,"-127.861999608066 , 54.4989780978178",-127.86199960806607,54.49897809781783
